,,,,,,,,,,,,,,x,,,,,,,,,,,,
47.948,53.074,56.466,55.552,54.774,56.964,54.472,52.765,48.214,3.0525,3.0402,3.0455,3.0783,3.0553,3.0333,3.0613,3.1038,0.0017876,0.0011945,0.00091343,0.0012984,0.0011082,0.0017221,0.00053766,0.0013896,0.0028517,0.00087512
49.729,53.728,56.717,55.912,55.685,55.222,54.903,52.694,46.188,3.0515,3.0257,3.0734,3.0249,3.0847,3.0746,3.0292,3.1081,0.0013142,0.00096949,0.00090043,0.00095802,0.0013936,0.00092046,0.00096442,0.00082496,0.00066182,0.0010682
47.235,54.151,54.837,55.096,55.618,56.759,55.516,53.81,49.082,3.0442,3.0437,3.0831,3.0134,3.016,3.0997,3.0404,3.1004,0.0026621,0.0012463,0.0010578,0.00081862,0.00096907,0.00087145,0.00091562,0.00088014,0.0012009,0.00079318
48.731,54.761,52.928,54.923,56.77,55.857,56.886,51.937,48.604,3.0705,3.1074,3.0135,3.0722,3.0553,3.0867,3.0388,2.981,0.0013658,0.00078045,0.0014618,0.0012838,0.00020163,0.0014807,0.0013112,0.00096061,0.0016012,0.0013307
49.457,56.031,55.262,56.344,55.961,56.941,55.621,54.041,47.758,3.0234,3.125,3.1086,3.0789,3.0595,3.0729,3.1015,3.0078,0.00084683,0.0019067,0.0014313,0.0011245,0.0017367,0.0013602,0.0013337,0.0014955,0.00043968,0.00049568
43.602,54.1,55.299,56.38,54.846,57.937,56.164,54.208,47.235,3.0093,3.0452,3.0879,3.07,3.1011,3.03,3.0877,2.9469,0.0017191,0.00048889,0.0012773,0.001632,0.00091724,0.00070943,0.0023516,0.0016099,0.0017234,0.00099125
52.191,54.008,54.775,56.127,56.066,55.015,55.992,52.217,47.07,3.0603,3.0471,3.0612,3.0502,3.0334,3.0901,3.0942,3.0641,0.0013662,0.00054683,0.001497,0.0017238,0.0011303,0.0012769,0.0012438,0.0015833,0.0017468,0.0019839
49.021,54.739,55.794,56.387,56.936,55.731,56.09,52.684,48.199,3.0727,3.0818,3.0368,2.9899,3.0087,3.1045,2.9997,3.098,0.00083646,0.00056179,0.0004016,0.0017702,0.0018488,0.00050062,0.0013824,0.00069594,0.001984,0.00054212
46.761,54.78,56.176,55.664,56.308,57.036,56.088,54.501,48.34,2.9891,3.0994,3.009,3.0733,3.0499,3.0631,3.0553,3.0057,0.00051281,0.0014392,0.0011715,0.0022268,0.0010277,0.0011127,0.0010519,0.00044127,0.00058775,0.0012567
48.2,51.844,54.597,55.667,56.62,55.701,55.051,54.438,48.611,3.0268,3.0681,3.0816,3.0886,3.0108,2.9779,3.104,3.0835,0.0014156,0.00097451,0.0013063,0.00088285,0.00089926,0.00048501,0.0013339,0.0013924,0.0008108,0.0013608
49.546,53.594,55.292,55.786,55.777,56.583,55.83,51.173,47.792,3.1083,3.048,3.0797,3.1081,3.1106,3.1224,3.0622,2.9215,0.00076405,0.001156,0.0019702,0.0010244,0.0020785,0.00023088,0.0013237,0.0012972,0.0010529,0.0013356
47.267,53.286,56.355,55.245,55.528,56.791,56.354,52.044,45.399,3.0714,3.0804,3.0772,3.1264,3.0832,3.0877,3.02,2.9541,0.0012323,0.00061038,0.00064238,0.0017262,0.00083556,0.0013014,0.0011334,0.0016615,0.0012497,0.0017198
48.773,54.313,56.28,56.995,55.058,56.434,55.377,53.552,47.759,3.0452,3.0775,3.1213,3.0589,3.0419,3.1319,3.0943,3.0345,0.0012808,0.0014443,0.00076882,0.001425,0.00071801,0.0013127,0.001108,0.00075235,0.0017756,0.0023458
45.651,55.702,56.601,54.939,55.105,57.993,56.278,54.716,46.839,2.891,3.1009,3.0014,3.0111,3.0869,3.1049,3.0637,2.9866,0.00077578,0.001867,0.0013211,0.0011595,0.00083484,0.0010813,0.00058571,0.00092895,0.002427,0.00099353
43.081,50.793,56.257,56.784,56.823,55.292,54.293,51.944,49.656,3.0983,3.0299,3.0531,3.1268,3.0872,3.0792,3.0425,3.0825,0.0021203,0.001607,0.0016921,0.0014501,0.00046439,0.0016194,0.001797,0.0015896,0.00063606,0.00076326
46.846,49.759,55.531,56.478,57.754,57.702,55.589,53.194,48.563,2.9995,3.1009,3.0352,3.0913,2.9929,3.0399,3.087,2.9179,0.0020142,0.0016232,0.00059837,0.0020017,0.00051078,0.00066547,0.00060102,0.00091092,0.0010298,0.0014359
48.872,52.593,54.735,55.611,54.709,56.522,55.419,55.515,47.717,2.9903,3.0129,3.0976,3.0864,3.11,3.0531,3.1029,3.0618,0.0011099,0.0020863,0.00063479,0.0012398,0.0011902,0.00067481,0.0010556,0.0015451,0.00064141,0.0011282
48.082,54.717,55.1,56.81,56.108,56.624,55.53,53.87,47.148,2.9815,3.103,3.0859,3.124,3.0863,3.0047,3.0123,3.0365,0.001366,0.0011856,0.0013233,0.00028859,0.00045512,0.00091103,0.0013879,0.00089855,0.00059874,0.0011883
45.687,53.971,55.985,57.245,57.349,56.453,53.737,54.018,49.565,3.1359,3.1217,3.091,3.0636,3.0708,3.0328,3.0837,2.9041,0.0014915,0.0012393,0.0013088,0.001187,0.0010448,0.0010032,0.0021206,0.0012952,0.00089397,0.002447
46.564,53.097,55.568,58.34,56.138,54.776,53.952,53.989,49.474,2.9963,3.0349,3.0839,3.0262,3.045,3.0932,3.0488,2.9884,0.00079551,0.00084694,0.0011048,0.0013781,0.001241,0.00065692,0.00062879,0.00059447,0.00086278,0.0017446
46.212,53.977,55.093,56.487,56.345,55.085,55.864,54.342,45.05,2.933,3.0198,3.0541,3.1062,3.0981,3.0812,3.0724,3.0442,0.0015917,0.00051087,0.00093713,0.0011557,0.0015634,0.00029638,0.00064353,0.00097509,0.00052305,0.0024401
46.262,50.799,53.947,55.306,56.56,55.247,55.222,53.529,47.366,2.952,3.0702,3.0616,3.0785,3.1096,3.1027,3.1194,3.1148,0.001526,0.00085061,0.0013523,0.00050027,0.0012313,0.0016139,0.0014764,0.0013422,0.0016292,0.001118
50.119,52.378,55.15,56.354,55.7,55.964,56.32,55.232,46.213,3.0565,3.0921,3.1394,3.113,3.0498,3.0102,3.0497,2.9389,0.0021987,0.0015112,0.0011235,0.0018541,0.0012206,0.0012812,0.0011986,0.00026002,0.0010744,0.0020241
48.49,53.284,57.098,57.973,54.917,54.122,55.52,50.958,48.51,3.0053,3.0249,3.0765,3.092,3.1069,3.1218,3.0369,2.9771,0.00066466,0.0014004,0.00069377,0.00090292,0.0014919,0.00037131,0.0010187,0.0012861,0.00035226,0.0016652
49.128,52.053,55.238,55.755,56.423,57.325,55.578,53.62,47.37,2.9957,3.0512,3.0332,3.1269,3.1016,3.1122,3.112,3.121,0.001258,0.0013919,0.001003,0.0014448,0.0018748,0.0010347,0.0015306,0.00095397,0.0011662,0.0013383
50.218,53.99,56.162,57.688,57.105,57.957,54.764,54.334,48.529,2.9867,2.9667,3.0894,3.1101,3.0521,3.072,3.1228,3.021,0.00094441,0.0012763,0.0011216,0.0016056,0.0014556,0.0013249,0.0015947,0.00058834,0.00072999,0.00099181
49.709,54.407,54.751,54.909,56.632,56.994,56.435,52.007,44.093,3.0857,3.1105,3.053,2.9932,3.0768,3.1199,3.037,3.0226,0.0019438,0.0013442,0.0010441,0.0014317,0.0017221,0.0010121,0.0016132,0.00047899,0.001495,0.0011697
47.425,52.165,54.059,53.832,56.362,56.149,56.813,55.575,48.072,3.0089,3.0279,3.0238,2.9988,3.0911,3.1132,3.0857,3.0797,0.0017779,0.0011749,0.001663,0.0014521,0.000547,0.0015097,0.0007188,0.0010881,0.00026839,0.0020144
49.368,52.941,56.932,55.592,56.38,55.868,55.282,54.592,46.555,2.9284,3.1014,3.0712,3.0474,3.0872,3.0497,3.1183,3.0116,0.0015912,0.00054573,0.00095072,0.0011267,0.001022,0.00071641,0.0011635,0.00040859,0.0011278,0.0016835
51.248,54.057,54.455,56.516,54.094,54.493,55.462,53.366,48.747,2.8594,3.0734,3.1002,3.1079,3.0683,3.0249,2.9695,2.9523,0.00090443,0.0008375,0.0011381,0.0012235,0.00049095,0.0013073,0.00044499,0.00026256,0.00092649,0.00096644
47.543,53.86,54.316,54.884,56.978,56.944,55.486,53.062,45.227,3.0592,3.0677,3.0798,3.1266,3.063,2.9924,2.9944,2.9098,0.0016337,0.00055021,0.00090662,0.00098779,0.00068636,0.0009902,0.00096395,0.0013265,0.0014548,0.0014389
50.218,53.991,54.575,55.718,57.441,54.803,53.384,54.195,45.754,3.1022,3.0505,3.0392,3.0816,3.0526,3.0561,3.0907,2.9597,0.0013039,0.00072215,0.0012257,0.00072177,0.0015266,0.0011758,0.00080728,0.0015461,0.0012757,0.0015982
46.575,51.804,55.644,54.603,56.657,56.203,55.357,52.256,47.761,3.0316,3.0342,3.0651,3.0934,3.132,3.0986,3.0901,3.0253,0.0022702,0.0024973,0.0010903,0.0022572,0.00073039,0.0016326,0.00074343,0.00032697,0.0010949,0.0020049
47.087,52.059,52.491,55.629,56.252,56.323,55.508,53.823,46.753,3.0709,3.1089,3.0913,3.0564,3.019,3.1255,3.1055,2.9559,0.0011456,0.000924,0.0011719,0.00082355,0.0014976,0.00064198,0.0021328,0.000685,0.0007646,0.0018955
48.354,51.686,55.597,55.74,56.292,55.974,55.249,53.99,44.668,3.028,3.0049,3.0324,3.1048,3.0595,3.0232,3.0951,3.0478,0.0014745,0.00087097,0.0011959,0.0010211,0.0010604,0.0019806,0.00069611,0.0010881,0.001369,0.001089
47.652,52.533,55.341,56.824,57.105,58.174,55.006,55.224,47.68,3.0657,3.0874,2.9626,3.0448,3.0901,3.0772,3.0116,3.0788,0.0011386,0.0013689,0.00050106,0.0010216,0.0016121,0.0013615,0.00097813,0.0012687,0.0010902,0.0020164
49.247,53.533,56.405,53.813,56.421,55.897,54.752,55.413,49.276,2.9877,3.0871,2.9848,3.1044,3.1087,3.1144,3.0234,2.8603,0.0012928,0.00078995,0.00084903,0.0014041,0.00028694,0.00077813,0.0013616,0.0015523,0.0012484,0.0011503
50.967,55.205,56.329,56.731,56.46,56.754,55.915,53.455,50.375,3.0244,3.045,3.0391,3.1037,2.9775,3.0665,3.086,3.0055,0.00084263,0.0010017,0.0012132,0.0008747,0.00037087,0.001181,0.0016894,0.0014415,0.0011149,0.0023987
49.871,53.104,56.176,56.301,55.451,56.281,55.084,53.655,47.034,3.0351,3.0857,3.0635,3.113,3.1291,3.0579,2.9792,3.0438,0.00106,0.00091953,0.0010042,0.0008665,0.00060557,0.00035436,0.0012313,0.00061919,0.0008365,0.0015447
47.866,52.867,55.887,55.648,55.951,56.617,56.165,53.908,47.267,3.023,3.0211,3.0337,3.1021,3.0405,3.0218,3.0729,2.9899,0.00061596,0.0011666,0.0012966,0.00097821,0.001017,0.00091016,0.00053032,0.00044674,0.0014679,0.0010363
49.587,53.939,54.838,54.985,57.365,55.84,54.356,51.404,48.792,3.0484,3.1133,3.0228,3.09,3.1296,3.0829,3.0082,2.9946,0.0010342,0.00062099,0.0011736,0.00097653,0.00133,0.0011577,0.0013702,0.0012086,0.00089515,0.0014389
44.466,53.213,55.49,56.829,55.649,55.444,55.764,53.628,47.387,3.0998,3.0696,3.1314,3.0783,3.1119,3.0236,3.0777,2.9755,0.0021819,0.0018678,0.0017937,0.00058119,0.00064378,0.00060464,0.001162,0.00079056,0.0012284,0.0014716
50.076,50.176,53.236,55.423,56.532,57.284,54.204,52.686,50.095,3.0335,2.9678,2.9911,3.092,3.0838,3.0688,3.0578,3.1064,0.0011277,0.0010353,0.00063862,0.00076941,0.0013198,0.0013313,0.0014205,0.0015314,0.00011468,0.0025432
46.384,53.614,55.64,55.304,57.532,55.464,53.847,54.867,47.633,2.8466,2.9935,2.9971,3.0732,3.1251,3.102,3.0712,3.0924,0.0011811,0.00095892,0.0008638,0.001013,0.00064101,0.00093826,0.00055767,0.0014019,0.00057406,0.00062782
47.335,53.272,55.957,56.432,54.734,56.407,55.335,55.192,46.74,3.0336,3.0445,3.0388,3.1088,2.9801,3.0581,3.1062,3.0393,0.00085972,0.0015927,0.00099593,0.00080481,0.00089253,0.0010512,0.00081988,0.00097282,0.0020737,0.0012235
46.181,54.358,55.266,55.876,55.922,55.104,56.725,54.508,50.606,3.0464,3.024,2.9808,3.0063,3.1338,3.0741,3.0869,3.0696,0.0013758,0.0016987,0.0016698,0.00097449,0.0014761,0.0015529,0.0019451,0.00068166,0.0009961,0.0012807
48.321,51.954,56.23,56.749,56.618,57.442,56.047,52.96,47.602,3.0117,3.0384,3.0649,3.077,3.0282,3.0412,3.1068,3.1178,0.0011928,0.0008414,0.0013387,0.00080139,0.0019905,0.0006667,0.0014457,0.0012856,0.0021631,0.0016754
46.313,54.86,54.361,54.787,57.711,56.881,56.106,53.038,49.33,3.0908,3.0305,3.1292,3.097,3.0286,3.0252,3.0561,3.0931,0.001226,0.00072418,0.0018254,0.00066008,0.00013625,0.00080071,0.00086809,0.00078306,0.0011346,0.0010118
47.949,52.534,55.813,56.032,56.901,56.486,55.228,52.447,47.08,3.0078,3.1084,3.1033,3.0878,3.1178,3.0706,3.1074,3.1012,0.00044644,0.0011496,0.0013694,0.00047992,0.00094362,0.00050484,0.00010667,0.0010413,0.0015436,0.0024131
48.451,53.763,54.367,55.933,56.717,56.217,56.338,54.389,44.546,2.9333,3.03,3.0426,3.0877,3.028,3.0309,3.1135,3.0237,0.0018533,0.0013241,0.0010604,0.00083307,0.0011695,0.0011217,0.000914,0.001518,0.0011737,0.00042278
50.236,54.458,54.335,55.508,55.051,57.888,53.622,53.009,49.887,3.0801,3.0642,3.1006,3.0223,3.0463,3.0182,3.0338,3.1253,0.0022277,0.0014718,0.00089683,0.0012367,0.0012746,0.0013865,0.0011135,0.00080235,0.0015817,0.0014888
52.329,53.051,55.737,55.752,55.815,56.658,55.761,53.029,47.404,2.9667,3.0768,3.0815,3.1368,3.0747,3.1018,3.064,3.1293,0.0016064,0.00069751,0.0016523,0.0013829,0.0015144,0.0011057,0.0012009,0.00092653,0.0013266,0.00078962
48.654,54.196,57.071,56.111,56.583,55.89,55.758,53.648,47.688,3.0835,3.1313,3.1217,3.0687,3.0912,3.0124,3.0223,3.0259,0.0012645,0.0015458,0.00080851,0.0014978,0.001042,0.0001988,0.0007607,0.00076545,0.0010287,0.00088313
48.774,52.857,56.272,56.614,56.468,56.594,55.635,50.578,48.225,3.0919,2.9527,3.0172,3.1153,3.0737,2.9556,2.9898,3.0847,0.00062693,0.0015751,0.00089279,0.0015893,8.14E-05,0.001116,0.0006223,0.001477,0.0013117,0.001294
47.335,53.994,55.182,56.733,55.694,55.582,53.489,52.571,46.101,2.9723,3.0796,3.0852,3.0367,3.0145,3.0307,3.0971,3.0288,0.00061318,0.0010513,0.0009901,0.00098542,0.00099372,0.00050987,0.0010899,0.00097814,0.0011806,0.0010061
49.851,54.785,54.733,56.326,55.65,55.205,55.128,53.649,49,3.0351,3.0917,2.9977,2.989,3.068,3.0282,3.0088,3.078,0.0014946,0.00083022,0.0010106,0.00092412,0.0016196,0.00083255,0.0012002,0.00048992,0.0012267,0.0009779
46.049,53.586,55.128,55.247,56.948,55.445,53.889,53.649,48.614,3.0757,2.9922,3.0725,3.0604,3.113,3.0459,3.0814,2.9836,0.0011227,0.0023107,0.00062001,0.00090556,0.0013028,0.0009646,0.0010929,0.00056717,0.00062264,0.0021275
45.346,54.715,55.502,56.767,56.174,56.272,54.933,53.137,47.793,3.1133,3.0454,3.0696,3.1104,3.1005,3.0875,3.0599,2.9529,0.0014246,0.00073918,0.0015333,0.0014975,0.0014134,0.0011623,0.00092802,0.0022443,0.0014742,0.0014319
49.816,51.987,54.755,56.925,57.122,56.337,55.919,54.668,50.16,3.0199,3.0539,3.0165,3.0791,3.0524,3.0512,2.9972,3.0065,0.001438,0.0011474,0.0005152,0.0011034,0.0010112,0.00075867,0.00057664,0.0012296,0.0010717,0.00066669
48.36,53.474,54.309,55.85,56.215,54.728,53.783,54.64,49.006,2.9643,3.0283,3.0231,3.0412,3.0038,2.9994,2.9812,2.9493,0.0013953,0.00091288,0.0016433,0.00078181,0.00069799,0.0011906,0.00047457,0.00062358,0.001502,0.0011361
48.553,53.014,55.558,55.889,55.227,56.795,55.097,53.701,46.835,3.0523,3.009,3.0381,3.072,3.112,3.0719,2.9945,3.1087,0.0015404,0.00046868,0.0010611,0.00066969,0.0013783,0.0018254,0.0011282,0.0010435,0.0014589,0.0016752
49.763,53.271,55.973,53.795,54.941,54.226,53.338,55.264,49.152,3.1171,3.0997,3.13,3.1302,3.0319,3.0224,3.0707,2.9989,0.002082,0.00086465,0.0012602,0.0014545,0.00097492,0.00079449,0.00063213,0.00059409,0.0012759,0.0010547
49.646,54.682,55.303,55.718,56.003,55.218,54.911,54.327,47.285,3.0789,3.0706,3.1158,3.0521,2.9568,3.0702,3.0765,3.0629,0.0016053,0.00090614,0.0017048,0.00069749,0.00074184,0.0011163,0.0011509,0.00080675,0.0019703,0.00051386
48.576,53.29,54.95,56.168,55.227,56.717,56.639,55.142,51.89,2.9269,2.9874,3.0801,3.1101,3.0812,3.089,3.0755,2.9734,0.001087,0.0017358,0.001207,0.0012177,0.00060067,0.00078675,0.001521,0.0012817,0.0021541,0.0013997
44.372,53.959,53.185,55.421,56.008,56.27,55.159,52.63,48.555,3.061,3.0691,3.0373,3.0138,3.0999,3.11,3.0991,3.0037,0.00070854,0.0013184,0.00061522,0.0011478,0.00075311,0.00072325,0.00038145,0.0012255,0.0020421,0.0010087
46.126,52.871,54.762,54.917,56.838,56.463,54.886,53.068,45.559,3.0181,3.0028,3.1092,3.0811,3.082,3.0078,3.0123,2.8671,0.0015394,0.0013211,0.0014841,0.00091245,0.0011476,0.0013107,0.0015737,0.0010884,0.0013721,0.0015775
49.451,51.468,53.827,55.832,57.219,56.29,54.39,54.518,49.072,3.0935,3.0278,3.1096,3.0762,3.0739,3.1238,3.1101,3.1248,0.0017913,0.0011333,0.0017774,0.00096335,0.00092562,0.00095564,0.0011818,0.00090632,0.00096786,0.0011352
47.46,53.772,55.551,56.101,56.278,56.717,54.076,53.355,45.944,2.986,3.0123,3.0066,3.1091,3.1132,3.1177,3.0133,3.0294,0.0020533,0.0015306,0.00061312,0.0012718,0.00067741,0.001231,0.00091343,0.00092956,0.0012908,0.0016623
46.839,53.363,53.745,55.707,55.551,54.677,55.234,53.414,45.464,3.0516,3.0615,3.1035,3.0613,3.0769,3.0991,3.0922,2.968,0.0017459,0.00090995,0.00082163,0.0004995,0.00087297,0.00079277,0.00086893,0.00066045,0.0013632,0.00099034
46.902,55.607,54.862,55.28,56.005,56.954,56.161,52.44,43.371,3.04,3.0009,3.0752,3.0581,3.1149,3.0791,3.0179,3.0145,0.0013292,0.00075998,0.00078257,0.00095644,0.0013015,0.00094809,0.0012753,0.0012454,0.0013823,0.0015851
45.888,53.502,55.447,55.475,56.426,54.705,55.217,52.404,48.913,2.9686,3.0284,3.0507,3.1097,3.0787,3.0896,2.9789,3.0614,0.0015462,0.00099894,0.00052285,0.0012662,0.00090289,0.00077263,0.00082107,0.00089055,0.0007883,0.00060967
46.966,55.632,55.193,56.265,55.726,54.935,56.472,55.997,46.886,3.0352,3.1091,3.1117,3.0776,3.0543,3.038,3.0759,2.9097,0.00081531,0.00092472,0.00011052,0.00093809,0.0011085,0.00065688,0.0013916,0.0024494,0.0012908,0.00056834
47.545,52.44,54.82,55.118,55.829,56.113,55.219,54.521,47.825,2.8716,3.061,2.9769,3.0009,3.0772,3.1018,2.9543,2.9226,0.00049561,0.00071399,0.0010528,0.0015484,0.0012058,0.0012738,0.00047798,0.0012562,0.00085534,0.0013272
49.705,52.25,55.566,55.846,55.083,55.655,55.896,56.019,44.461,2.9786,3.0985,3.0962,3.0826,3.0906,3.0552,3.133,2.9863,0.00095198,0.0019412,0.00069576,0.00064402,0.00066797,0.00075353,0.0016953,0.0010948,0.00087615,0.0020859
48.719,51.599,53.949,54.852,57.448,55.066,55.098,54.023,48.511,3.0539,3.0931,3.0315,3.0693,2.9924,3.0889,2.9642,3.0887,0.0016635,0.0013036,0.00092945,0.00084147,0.00081372,0.0014222,0.0017004,0.0015792,0.0015661,0.00078491
46.987,53.227,55.003,55.863,55.566,55.782,55.535,53.538,49.34,3.0878,3.0026,3.028,3.0378,2.9957,3.0351,3.0067,3.0113,0.00088462,0.00075301,0.0011826,0.0014693,0.0002105,0.00071926,0.00066856,0.0010122,0.0017909,0.00072809
47.548,52.512,54.833,56.825,55.417,56.616,53.689,54.732,45.113,3.1272,2.9616,2.9965,3.0708,3.0307,3.0021,3.0951,3.0872,0.0015408,0.0012616,0.00088432,0.00065463,0.0013274,0.00099379,0.00051938,0.0010784,0.00081156,0.00063497
46.927,54.323,54.949,57.185,55.286,55.785,54.999,51.895,46.838,2.9713,3.0602,3.0794,3.068,3.0607,3.1163,3.1039,3.0612,0.00036345,0.0012262,0.00098797,0.00039754,0.0012483,0.00097504,0.0015018,0.0010155,0.0012531,0.00065065
46.258,53.47,55.784,55.421,55.414,56.425,54.768,53.215,48.854,2.9126,2.9765,2.9862,3.0728,3.0589,3.0913,2.984,3.011,0.0021813,0.0011761,0.00091819,0.00053753,0.00018446,0.0014516,0.00094409,0.0013833,0.0018083,0.00076447
49.204,53.466,56.815,55.9,53.775,55.756,55.932,50.627,48.316,3.0615,3.1193,3.1202,3.1104,3.0742,3.0868,3.0218,3.1217,0.001243,0.00059474,0.00097273,0.0013059,0.0011647,0.00085579,0.0012159,0.0013514,0.0011809,0.00053859
47.455,53.514,56.035,54.565,55.401,56.761,56.618,54.058,47.732,2.9459,3.1038,3.0592,2.9858,3.0625,3.0351,3.0858,3.0049,0.0011581,0.0013032,0.00037979,0.00091424,0.0016305,0.00089445,0.0010417,0.0011838,0.00082675,0.0024181
48.461,53.713,54.476,57.285,56.262,53.194,53.631,51.461,48.584,3.0454,3.043,3.0869,2.9857,3.0689,3.0584,3.0451,2.965,0.0010895,0.0018669,0.001649,0.00082964,0.00067964,0.00016312,0.00090061,0.00089525,0.00076905,0.0015483
47.641,54.212,54.11,55.049,55.272,55.122,55.07,53.722,49.07,3.0847,3.0692,3.0109,3.0657,3.0779,3.0785,3.107,2.9086,0.0007212,0.00077558,0.00098296,0.00093682,0.001025,0.0011783,0.0010303,0.0012432,0.00076061,0.0017708
47.586,53.863,55.542,55.272,56.185,56.25,54.723,53.976,47.179,3.0808,3.0692,3.0301,3.0887,3.0736,3.0006,3.0484,3.0489,0.0018209,0.00054175,0.001213,0.00057151,0.0012189,0.00073193,0.0014915,0.00070815,0.0014352,0.0018233
47.926,52.648,56.065,55.545,56.723,56.151,55.656,51.423,48.723,3.0512,3.0028,3.028,3.0374,3.0588,2.9926,3.1002,3.0128,0.00026292,0.00060359,0.0013494,0.00088616,0.00096298,0.00029236,0.00087509,0.0015968,0.00079988,0.0017613
44.868,51.464,54.661,56.815,56.147,55.469,55.812,53.009,49.511,3.0036,3.0353,3.0604,3.0179,3.047,3.0564,3.0362,3.0832,0.00094403,0.0015504,0.0011036,0.00097577,0.0008129,0.0023544,0.00064392,0.00078944,0.00083095,0.0019132
49.116,52.68,54.865,54.873,55.573,57.631,55.603,51.834,47.924,2.9433,2.9983,3.0949,3.0146,3.0266,3.0577,3.1085,2.9887,0.0014229,0.0010929,0.00099989,0.0010777,0.0011599,0.0010726,0.00064427,0.00098327,0.0010672,0.0011732
47.152,54.054,55.243,55.807,56.741,57.345,55.17,50.938,46.419,3.1007,3.0312,3.0836,3.0363,3.0597,2.9432,3.0539,3.0606,0.00096943,0.0014361,0.0006825,0.00034693,0.00075132,0.0011809,0.00088823,0.001437,0.0011153,0.00073688
47.611,53.959,53.452,55.368,57.426,55.675,53.81,53.874,49.755,2.9342,3.0642,3.0943,3.0875,3.1158,3.0331,3.0107,2.9494,0.0020804,0.0011491,0.0012416,0.0010122,0.00051913,0.0011398,0.0019545,0.0019264,0.00075626,0.0018743
46.326,50.645,53.294,55.95,55.518,55.395,55.821,54.832,46.688,3.0126,2.9599,3.0413,3.0118,3.0631,3.1119,3.1015,3.0473,0.0012889,0.00075322,0.0003449,0.00018519,0.00059544,0.0010248,0.00050443,0.000654,0.00068035,0.0007726
47.061,54.856,55.239,55.859,55.433,54.335,53.942,53.596,45.417,3.0764,3.1212,3.1372,3.0981,2.9801,2.9978,3.0824,3.0373,0.001072,0.00051237,0.00035397,0.0011806,0.0010877,0.00098262,0.00090299,0.0013537,0.0018369,0.001518
49.423,52.98,55.955,57.457,55.905,54.565,53.841,50.058,48.281,2.988,3.0363,3.1127,3.0581,3.0839,3.081,3.118,2.9537,0.0013879,0.0020291,0.00090873,0.0013513,0.0014457,0.0011337,0.0014441,0.0010034,0.0010106,0.0011356
48.532,52.539,55.385,53.775,55.901,54.334,54.202,52.548,45.089,2.9305,2.8745,2.9763,3.0276,3.0349,3.0764,3.0315,3.0152,0.0018829,0.001062,0.00059567,0.0013563,0.0021937,0.0013286,0.0014173,0.0017668,0.0014967,0.0016976
47.28,53.509,55.336,55.466,55.804,56.027,55.731,54.515,46.515,3.0329,3.071,3.1079,3.0732,3.1084,3.0687,2.968,2.9829,0.00090351,0.0016189,0.00094452,0.00094762,0.00064983,0.0016249,0.0017454,0.0011167,0.0020844,0.0018074
49.578,52.01,53.934,54.77,56.682,57.145,56.238,50.878,46.953,2.7915,3.0041,3.0201,3.1247,3.0849,3.0948,3.1037,3.032,0.0016453,0.0018592,0.00078958,0.00090095,0.0010524,0.0006946,0.001666,0.00086175,0.0013831,0.0007278
48.085,52.909,55.24,54.485,54.5,57.177,55.688,51.47,47.992,2.9668,3.0849,3.0024,3.0532,3.1093,3.0852,3.0914,2.8943,0.0014503,0.0014901,0.00041851,0.0021873,0.0016268,0.0014002,0.0018615,0.00074116,0.00055323,0.0014875
42.591,54.343,56.753,54.143,55.868,55.679,54.058,51.571,49.563,3.0355,3.0212,2.9959,3.0654,3.0423,3.1102,3.0478,2.9254,0.00069338,0.00097113,0.00074426,0.00097626,0.00091137,0.00089569,0.0007696,0.0019641,0.00085748,0.00082257
45.366,53.872,53.541,55.793,55.209,55.818,53.702,49.736,46.792,3.1063,3.0754,3.0119,3.015,3.1192,3.075,3.1069,3.0378,0.0018924,0.00093978,0.00048137,0.00071683,0.00049478,0.00099836,0.00083607,0.00073289,0.00028706,0.00095755
46.123,53.066,53.556,54.816,55.894,54.537,54.208,52.849,49.752,3.0363,3.106,2.986,3.0758,3.1215,3.1174,3.055,2.9832,0.0014864,0.001393,0.0018448,0.00081695,0.001019,0.0017049,0.0014155,0.00095667,0.0013991,0.0021648
44.273,54.58,55.829,56.021,56.131,55.607,53.81,55.118,45.736,2.9687,3.076,3.0943,3.0336,3.0129,2.9871,3.0391,3.1222,0.00072662,0.00098546,0.00087709,0.0016969,0.00061278,0.00057131,0.0016904,0.0007869,0.0018631,0.00093405
44.919,54.017,54.75,54.757,56.517,56.135,56.063,51.095,46.389,2.9405,2.9035,3.051,3.0538,3.0809,3.0659,3.0905,2.997,0.00195,0.00093079,0.0011153,0.00055522,0.00086203,0.00192,0.0002435,0.00098347,0.00082274,0.00099549
46.502,51.371,54.083,55.303,55.498,54.587,54.762,54.677,44.867,2.9457,3.0661,3.1189,3.0363,3.0321,3.0159,3.0376,3.0739,0.00080703,0.00072876,0.0015465,0.0014368,0.0010134,0.0010465,0.00069359,0.000813,0.00064903,0.0023164
45.985,53.486,55.198,53.782,55.402,54.557,55.378,52.756,49.099,3.0765,3.016,3.1092,2.9638,3.0594,2.9717,3.0079,3.0588,0.0015274,0.00094306,0.0014302,0.0013352,0.0011777,0.0010714,0.0014185,0.00043495,0.00085739,0.001695
